word,domain
study,
study,
studied,
studiously,
studious,
studying,Edu
syndrome,Med
pediatric,Med
clinical,Med
leukocyte,Med
leukemia,Med
intestinal,Med
peptide,Med
peptides,Med
peptidic,Med
peptidase,Med
peptidases,Med
cell,Med+Sci
cells,Med+Sci
cellular,Med+Sci
cellulose,Sci
cellulitis,Med
celluloid,Med
vernal,Med
vernalization,Med
vernalize,Med
vernalized,Med
vernalizing,Med
vernalizes,Med
keratoconjunctivitis,Med
keratin,Med
keratinization,Med
keratinize,Med
keratinized,Med
keratinizing,Med
keratinizes,Med
conjunctivitis,Med
conjunctiva,Med
conjunctival,Med
aids,Med
infectives,Med+Sci
infective,Med+Sci
infectivity,Med
infectious,Med
infectiously,Med
infectiousness,Med
infectiousnesses,Med
epidemiology,Med
epidemiologist,Med
epidemiological,Med
epidemiologically,Med
epidemiologists,Med
epidemic,Med
epidemics,Med
epidemically,Med
epidemiologic,Med
immunodeficiency,Med
immunodeficient,Med
immunodeficiencies,Med
hiv,Med
antibody,Med
antibodies,Med
antibiotic,Med
antibiotics,Med
antibiotic-resistant,Med
antibiotic-resistance,Med
antibiotic-resistances,Med
antiviral,Med
antivirals,Med
antivirally,Med
immunity,Med
immune,Med
immunization,Med
immunizations,Med
immunize,Med
immunized,Med
immunizing,Med
immunizes,Med
immunologic,Med
immunological,Med
immunologically,Med
immunologist,Med
immunologists,Med
immunopathology,Med
immunopathological,Med
immunopathologically,Med
immunopathologists,Med
immunopathologist,Med
immunopathologies,Med
immunopathology,Med
immunopathologic,Med
immunopathological,Med
immunopathologically,Med
pathology,Med
pathologist,Med
pathologists,Med
pathological,Med
pathologically,Med
pathogen,Med
pathogens,Med
pathogenic,Med
pathogenicity,Med
pathogenicities,Med
golgi,Med
golgi-apparatus,Med
golgi-apparatuses,Med
apparatus,Med
apparatuses,Med
pandemic,Med
pandemics,Med
pandemically,Med
pandemicity,Med
pandemicities,Med
secretory,Med
secretion,Med
secretions,Med
secretor,Med
secretors,Med
nanoparticles,Sci
nanoparticle,Sci
nanotechnology,Sci
nanotechnologies,Sci
nanotechnologist,Sci
nanotechnologists,Sci
nanotechnological,Sci
nanotechnologically,Sci
influenza,Med
influenzas,Med
influenzal,Med
disease,Med
diseases,Med
tetraspanins,Sci
tetraspanin,Sci
proteases,Sci+Med
protease,Sci+Med
bacteria,Med
bacterial,Med
bacterium,Med
bacteriologic,Med
bacteriological,Med
bacteriologically,Med
bacteriologist,Med
macromolecular,Sci+Med
microbiologist,Med+Sci
development,
develop,
developing,
developmental,Edu
developed,
developer,
developmentally,Edu
underdeveloped,
undeveloped,
underdevelopment,His
redevelopment,
redevelop,
developing,Law
group,
grouping,Edu
subgroup,
group,
intergroup,Soc
regroup,His
grouped,Edu
regrouping,Edu
system,
systematic,
systematically,
subsystem,Sci
unsystematic,
relationship,
relate,
relation,
related,
relational,
unrelated,
interrelated,
interrelationship,
relatedness,
interrelation,Hum
research,
researcher,
research,
social,
socially,
antisocial,Med
result,
result,
resulting,
resultant,
use,
use,
user,
useful,
used,
usefulness,
useless,
usable,
misuse,
reuse,Sci
unused,
reuse,
usefully,
reusable,Sci
misuse,
usability,Sci
unusable,
useable,
uselessness,Hum
misused,
uselessly,
provide,
provider,Med
provided,
providing,
however,
increase,
increase,
increased,
increasingly,
increasing,
experience,
experience,
experienced,
experiential,Edu
inexperienced,
inexperience,
level,
level,Edu
level,
high-level,
leveling,
leveling,
leveler,
leveled,
levelly,Soc
process,
process,
processing,
processor,Sci
processed,Med
unprocessed,Med
reprocess,Law
culture,
cultural,
culturally,Edu
cross-cultural,Edu
subculture,
intercultural,Edu
cultured,
microvascular,Med
microvasculature,Med
microvasculatures,Med
vascular,Med
vasculature,Med
vasculatures,Med
vasculitis,Med
vasculitides,Med
vasculitic,Med
vasculitically,Med
chromosomes,Med
chromosome,Med
chromosomal,Med
chromosomally,Med
chromosomic,Med
chromosomically,Med
chromosomics,Med
antimicrobial,Med
antimicrobials,Med
antimicrobially,Med
microbials,Med
microbial,Med
microbiological,Med+Sci
microbiologically,Med+Sci
hepatitis,Med
hepatocellular,Med
hepatocytes,Med
hepatocyte,Med
hepatocytosis,Med
hepatocytoses,Med
hepatocytotic,Med
hepatocytotically,Med
hepatocytotoxic,Med
hepatocytotoxicity,Med
hepatocytotoxins,Med
hepatocytotoxin,Med
hepatocytotoxically,Med
hepatocytotoxical,Med
subcultural,
uncultured,
history,
historical,
historian,His
historically,
historic,
prehistory,
historicity,Hum+Rel
historicism,Hum
activity,
active,
activist,
actively,
activism,
inactive,
inactivity,Med
active,Med
support,
support,
supporter,
supportive,
supporting,
supported,
unsupported,
individual,
individual,
individually,
individualism,
individualized,Edu
individuality,Hum
individualistic,
individualize,Edu
individualist,
individualist,Soc
encephalitis,Med
encephalopathy,Med
encephalomyelitis,Med
bronchitis,Med
bronchial,Med
bronchus,Med
bronchospasm,Med
bronchogenic,Med
virus,Med+Sci
viral,Med
virology,Med
virologist,Med
virological,Med
virologically,Med
information,
inform,
informed,
informant,Soc
informational,
info,Med
misinformation,Rel
uninformed,
informer,His+Law
informing,
misinform,
misinformed,
important,
importantly,
unimportant,
include,
including,
included,
form,
form,
formless,Hum+Rel
unformed,Hum
preformed,Med
formed,
forming,
preform,Sci
formlessness,Hum+Rel
require,
requirement,
required,
control,
control,
controller,Sci
controlled,Med
uncontrolled,
controlling,
uncontrollable,
controllable,
uncontrollably,
product,
production,
productivity,
productive,
by-product,
counterproductive,
unproductive,
productively,
change,
change,
changing,
unchanged,
changed,
unchanging,
changeable,
changer,
changing,
unchangeable,Rel
model,
model,
modeling,
modeler,Sci
modelling,
modeled,
model,
significant,
significantly,
insignificant,
insignificantly,
data,
datum,
nature,
natural,
naturally,
naturalist,
naturalistic,Hum
unnatural,
naturalism,Hum+Rel
naturalness,Hum
natural,
unnaturally,
natural,Med
naturalistically,Hum
effect,
effect,
present,
present,
presentation,
present,
present,
presenter,
presented,Rel
presentational,Hum
presentable,
value,
valuable,
value,
valuation,Fin
invaluable,
valued,
valuables,Soc
revaluation,
valueless,
revalue,His
valuing,Rel
analysis,
analyze,
analyse,Med
analyzed,
economic,
economy,
economics,
economist,
economically,
economical,
economize,
uneconomic,Law
uneconomical,
general,
generally,
general,
general,His
generalization,Edu
generalize,Edu
generalized,
generality,
generalist,Hum
generalised,Med
generalizing,Hum
table,
table,Law
tablecloth,
policy,
policy-making,
university,
performance,
perform,
performer,Hum
performing,Hum
human,
human,
humanity,Rel
humanist,Rel
humanist,Rel
humanism,Rel
humanistic,
inhuman,
humanly,Rel
humanness,
inhumanity,Rel
particularly,
particular,
particular,
particularity,Rel
particulars,
particularism,
particularistic,
particularize,Hum
particularized,Hum
suggest,
suggestion,
suggestive,
suggested,
suggestively,Hum
suggestiveness,Hum
suggestible,Rel
science,
scientist,Sci
scientific,
scientifically,
unscientific,
low,
low,
low,
lowly,
low,Edu
measure,
measure,
measurement,
measurable,
measured,
measuring,
immeasurably,
immeasurable,
measurably,Edu
unmeasured,Med
measuring,
both,
both,
design,
design,
designer,
designed,
designing,
society,
societal,
role,
difference,
traditional,
tradition,
traditionally,
nontraditional,Edu
traditionalist,
traditionalist,
traditionalism,
organization,
organize,
organizational,Edu
organized,
organizer,
reorganization,
reorganize,
organizing,
organizing,His
organizationally,
unorganized,Law
organisational,Med
reorganized,
organised,His+Med
organiser,His+Med
practice,
practice,
practicing,
practise,Med
practiced,
practicing,Hum
practising,Med
report,
report,
reporter,Law
reporting,
reported,
reportedly,
self-reported,Soc
unreported,
reporting,Edu
thus,
interest,
interesting,
interested,
interestingly,
self-interest,
interest,
uninterested,
uninteresting,
associate,
association,
associate,
associate,
associated,
associative,
technology,
technological,
tech,
high-tech,
technologically,
technologist,Sci
term,
terms,
long-term,
short-term,
term,
midterm,Law
identify,
identity,
identification,
identifiable,
identified,Edu
unidentified,
identifier,
identifying,
unidentifiable,
indicate,
indicator,
indication,
indicative,
indicated,
similar,
similarly,
similarity,
dissimilar,
dissimilarity,
discussion,
discuss,
discussed,Edu
undiscussed,Rel
rate,
rating,Edu
rate,Edu
rater,Edu
rated,Edu
figure,
fig,Hum
figure,
figural,Hum
figuration,Hum
figuring,
focus,
focus,
focused,
unfocused,Edu
focusing,Sci
focusing,
focussed,Law
unfocussed,Soc
factor,
factor,
factoring,Edu
structure,
structural,
structured,
structure,
restructuring,
restructure,
structurally,
structuring,
unstructured,Edu
structuralist,Hum
structuralism,Hum
restructured,
apply,
application,
applied,
reapplication,Med
compare,
comparison,
comparable,
comparability,
comparably,
incomparable,
incomparably,
observe,
observation,
observer,
observatory,Sci
observed,
observational,
observable,
observant,Rel
unobserved,
unobservable,
unobservant,Rel
specific,
specifically,
specification,
specificity,
specific,
unspecific,
need,
need,
needless,
needed,
needlessly,
unneeded,
needful,Rel
reduce,
reduction,
reduced,
reductionism,
reducible,
reducing,Med
